Key,Value
1391,"['Classics', 'Poetry', 'History']"
1402,"['Poetry', 'Classics', 'Fiction']"
1403,"['Poetry', 'African American', 'jingling-of-like-endings']"
1405,"['Poetry', 'Classics', 'Ancient']"
1417,"['Classics', 'Poetry', 'Fiction']"
1419,"['Classics', 'Poetry', 'Fiction']"
1423,"['Plays', 'Classics', 'Humor']"
1424,"['Fiction', 'Philosophy', 'Spirituality']"
1425,"['Fiction', 'Spirituality', 'Philosophy']"
1426,"['Fiction', 'Philosophy', 'Spirituality']"
1427,"['Fiction', 'Novels', 'Philosophy']"
1428,"['Fiction', 'Romance', 'Philosophy']"
1429,"['Fiction', 'Historical Fiction', 'Novels']"
1431,"['Fiction', 'Contemporary', 'Philosophy']"
1433,"['Classics', 'Plays', 'Fiction']"
1437,"['Nonfiction', 'Audiobook', 'Academics']"
1438,"['Classics', 'Plays', 'Fiction']"
1439,"['History', 'Nonfiction', 'Mythology']"
1440,"['History', 'Classics', 'Nonfiction']"
1441,"['History', 'Philosophy', 'Classics']"
1444,"['History', 'Nonfiction', 'Ancient History']"
1445,"['History', 'Classics', 'Nonfiction']"
1449,"['History', 'Classics', 'Nonfiction']"
1459,"['History', 'Classics', 'Military History']"
1462,"['Classics', 'Plays', 'Drama']"
1463,"['Classics', 'Plays', 'Drama']"
1465,"['Classics', 'Plays', 'Drama']"
1466,"['Plays', 'Classics', 'Poetry']"
1467,"['Classics', 'Plays', 'Drama']"
1468,"['Classics', 'Plays', 'Drama']"
1470,"['Classics', 'Plays', 'Drama']"
1473,"['Classics', 'Plays', 'Drama']"
1474,"['Plays', 'Classics', 'Drama']"
1475,"['Classics', 'Plays', 'Drama']"
1476,"['Classics', 'Plays', 'Drama']"
1479,"['Classics', 'Plays', 'Drama']"
1480,"['Classics', 'Plays', 'classics']"
1486,"['Classics', 'Plays', 'Mythology']"
1488,"['Plays', 'Drama', 'Classics']"
1489,"['Classics', 'Plays', 'Drama']"
1491,"['Drama', 'Plays', 'drama']"
1494,"['Plays', 'Classics', 'Drama']"
1499,"['Classics', 'Plays', 'Drama']"
1504,"['Classics', 'Nonfiction', 'Plays']"
1510,"['Plays', 'Classics', 'Drama']"
1511,"['Plays', 'Classics', 'Drama']"
1515,"['Classics', 'Plays', 'Drama']"
1516,"['Classics', 'Plays', 'Drama']"
1517,"['Classics', 'Plays', 'Drama']"
1518,"['Classics', 'Plays', 'Drama']"
1519,"['Classics', 'Plays', 'Drama']"
1521,"['Classics', 'Plays', 'Drama']"
1523,"['Classics', 'Plays', 'Drama']"
1525,"['Classics', 'Plays', 'Drama']"
1526,"['Classics', 'Plays', 'Drama']"
1527,"['Classics', 'Plays', 'Drama']"
1529,"['Classics', 'Nonfiction', 'Drama']"
1530,"['Classics', 'Plays', 'Drama']"
1531,"['Classics', 'Plays', 'Drama']"
1532,"['Classics', 'Plays', 'Drama']"
1533,"['Classics', 'Plays', 'Drama']"
1536,"['Classics', 'Plays', 'Drama']"
1537,"['Classics', 'Plays', 'Drama']"
1538,"['Classics', 'Plays', 'Drama']"
1540,"['Classics', 'Plays', 'Drama']"
1542,"['Classics', 'Plays', 'Drama']"
1546,"['Classics', 'Plays', 'Drama']"
1547,"['Classics', 'Plays', 'Drama']"
1548,"['Classics', 'Plays', 'Drama']"
1549,"['Classics', 'Plays', 'Fiction']"
1554,"['Classics', 'Plays', 'Fiction']"
1555,"['Classics', 'Plays', 'Drama']"
1558,"['Classics', 'Plays', 'Fiction']"
1559,"['Classics', 'Plays', 'Fiction']"
1560,"['Classics', 'Plays', 'Drama']"
1561,"['Classics', 'Plays', 'Fiction']"
1562,"['Classics', 'Plays', 'Drama']"
1566,"['Drama', 'Classics', 'Plays']"
1567,"['Classics', 'Plays', 'Drama']"
1568,"['Plays', 'Classics', 'Drama']"
1571,"['Classics', 'Plays', 'Drama']"
1572,"['Drama', 'Plays', 'Classics']"
1576,"['Classics', 'Plays', 'Drama']"
1577,"['Classics', 'Plays', 'Drama']"
1579,"['Plays', 'Drama', 'Classics']"
1586,"['Plays', 'Classics', 'Drama']"
1590,"['Plays', 'Classics', 'Drama']"
1591,"['Plays', 'Classics', 'Drama']"
1592,"['Classics', 'Drama', 'Plays']"
1595,"['Philosophy', 'Classical Studies', 'philosophy']"
1618,"['Fiction', 'Mystery', 'Young Adult']"
1620,"['Mystery', 'Fiction', 'Crime']"
1625,"['Classics', 'Plays', 'Drama']"
1627,"['Fiction', 'Short Stories', 'LGBT']"
1633,"['Nonfiction', 'Business', 'Productivity']"
1634,"['Business', 'Leadership', 'Self Help']"
1642,"['Nonfiction', 'Writing', 'Literature']"
1643,"['Nonfiction', 'Spanish Literature', 'argentina']"
1645,"['Fiction', 'Spanish Literature', 'LGBT']"
1646,"['Fiction', 'Spanish Literature', 'Literature']"
1654,"['Fiction', 'Spanish Literature', 'LGBT']"
1667,"['Fiction', 'Classics', 'Spanish Literature']"
1681,"['Philosophy', 'Classics', 'Religion']"
1684,"['Philosophy', 'Theology', 'Religion']"
1685,"['Theology', 'Christianity', 'Religion']"
